"variable","stan_mean","stan_sd","stan_q05","stan_q50","stan_q95","stan_mcse_mean","reference_mean","reference_sd","reference_q05","reference_q50","reference_q95","reference_mcse_mean","mean_difference","standardized_mean_difference","max_quantile_difference"
"Omega[2,1]",-0.0772302034864835,0.281482203198566,-0.564326403,-0.059331524,0.3501816315,0.00587395607989958,-0.0683970760751082,0.27796857483336,-0.558729410036467,-0.0481228676857426,0.345058138887398,0.000843674232922094,-0.00883312741137533,-1.48850311123352,0.0112086563142574
"Omega[3,2]",-0.0068104461326275,0.295943371904443,-0.4406220495,-0.0356975655,0.517563355,0.00575682616633485,-0.00191287978084625,0.294546142349342,-0.439883568324149,-0.0248746822588146,0.520968569479883,0.00089398951250413,-0.00489756635178126,-0.84066451430504,0.0108228832411854
"Omega[4,1]",0.060245067725519,0.303049268100508,-0.461431571,0.078931328,0.5289978895,0.00594081405209198,0.0514308906878134,0.30128679121698,-0.465535683184862,0.0660584446974099,0.518175310157239,0.000914448342306063,0.0088141770377056,1.4663946569216,0.0128728833025901
"Omega[4,3]",0.0863638289349575,0.278641154167051,-0.3372403645,0.074255429,0.572336565,0.00552836163061707,0.074677345549686,0.278855420494781,-0.343521623830311,0.0548327725380659,0.563463915186003,0.000846365935872934,0.0116864833852715,2.08956843602092,0.0194226564619341
