"scenario","model","divergences","treedepth_hits","min_ebfmi","min_bulk_ess","min_tail_ess","max_rhat","max_parameter_rhat","min_parameter_bulk_ess","radius_rhat","ess_per_1000_gradients","seconds","max_bound_violation","min_eigenvalue","certified_eigenvalue_floor","minimum_corner_eigenvalue","pd_boundary_fraction"
"all_positive","tri_sign",0,0,0.868430773334878,4358.82946372343,2841.7336569959,1.00197389281519,1.00198499912436,3876.56682562654,NA,59.6609562513472,0.267031908035278,0,0.00294867686897611,NA,NA,NA
"all_positive","global_ray",0,0,0.77908201514069,3048.64691729916,3631.76241989724,1.0013452788069,1.00144744157421,3188.49511616373,1.00144744157421,5.73562807095611,1.18979096412659,0,0.000582076693427588,NA,NA,0.593666666666666
"all_negative","tri_sign",0,0,0.813523603151237,5901.73442064064,3236.7391614232,1.00161274835808,1.0014092575707,5491.91801431262,NA,122.732903977054,0.14730715751648,0,0.00037487938946576,NA,NA,NA
"all_negative","global_ray",0,0,0.781484727748443,1877.20402419115,2212.82542336072,1.00339187108429,1.00334816242732,1964.1210929605,1.00128363765308,1.26562750245489,3.17162704467773,0,0.0016024165326359,NA,NA,0.428666666666666
"mixed_signs","tri_sign",0,0,0.91097925912775,5170.38827525031,3020.02568141274,1.00116093478507,1.00112698982393,4584.98525023058,NA,103.193123807487,0.138537168502808,0,0.00301782560115311,NA,NA,NA
"mixed_signs","global_ray",1,0,0.71220997579578,1899.85075803577,2481.50701217149,1.0025335343662,1.00257044286931,2096.17607906368,1.00144567962305,1.28140066613503,2.64909100532532,0,0.00278483021616401,NA,NA,0.662333333333334
"heterogeneous_box","direct_box",0,0,0.828119586651394,8040.21579283325,3286.00674313795,1.00369613814781,1.00377666872196,8040.21954172704,NA,186.999157894531,0.148269891738892,0,0.417348662559631,0.22,NA,NA
"heterogeneous_box","global_ray",0,0,0.712588362492538,2504.81649582673,4878.8853983871,1.0012536624467,1.00149983270958,2784.79707254023,1.0014358158129,3.40639346771336,1.62090396881104,0,0.4212378406651,0.22,NA,0
"wide_heterogeneous_box","global_ray",0,0,0.822561106800888,3298.91255088467,4679.89991107735,1.00072283026268,1.00143312559089,3566.13420589888,1.00143312559089,7.10690706893101,1.0793571472168,0,0.00354360504338508,NA,-1.10205813868714,0.0446666666666668
