"scenario","model","variable","row","col","lower","upper","mean","sd","q05","q50","q95","mcse_mean"
"heterogeneous_box","direct_box","Omega[2,1]",2,1,-0.072428348428117,0.0619962613020503,-0.00530108647762268,0.0387443398899507,-0.0659301573,-0.00577066845,0.0552516773,0.000418911382942545
"heterogeneous_box","direct_box","Omega[3,1]",3,1,-0.1091755611543,0.0107413438147885,-0.0491429415735075,0.0346845579593163,-0.1028338785,-0.0495977635,0.00529857566,0.000371998371603458
"heterogeneous_box","direct_box","Omega[3,2]",3,2,0.0472063762264721,0.21025071034725,0.128405859433333,0.0467225399927116,0.05652265815,0.12775934,0.201320046,0.000458075797919316
"heterogeneous_box","direct_box","Omega[4,1]",4,1,-0.017707793359003,0.129235831274747,0.0550162940678314,0.042173956275745,-0.0101729904,0.054461351,0.121558961,0.000425787729009705
"heterogeneous_box","direct_box","Omega[4,2]",4,2,-0.310074677706693,-0.210696104802907,-0.25949247827,0.0285074126020304,-0.3046614095,-0.258630815,-0.215560564,0.00030702169249728
"heterogeneous_box","direct_box","Omega[4,3]",4,3,0.112531280553702,0.187364945277158,0.150113214881666,0.0215615553903847,0.1162753455,0.15037954,0.1836288755,0.000240461877621558
"heterogeneous_box","direct_box","Omega[5,1]",5,1,0.00627504492564758,0.0530638008431273,0.0296872855847333,0.013576538876686,0.008625627925,0.0298199075,0.05068091705,0.000125087774046098
"heterogeneous_box","direct_box","Omega[5,2]",5,2,0.201174887164057,0.323357130907622,0.261369493276667,0.0350206707156899,0.206933026,0.26153032,0.3169756265,0.000370474168541681
"heterogeneous_box","direct_box","Omega[5,3]",5,3,0.183765616945976,0.302653115334163,0.243393317438333,0.0342445095912659,0.1899568225,0.24350335,0.296398451,0.000340665188669882
"heterogeneous_box","direct_box","Omega[5,4]",5,4,0.166158223851264,0.213870050190797,0.189871529278333,0.0136895588920688,0.168617172,0.18992302,0.2113959815,0.000140565919262701
"heterogeneous_box","global_ray","Omega[2,1]",2,1,-0.072428348428117,0.0619962613020503,-0.00603595587246635,0.0391082851693766,-0.06628982825,-0.005616312,0.0547905199,0.000757713116865182
"heterogeneous_box","global_ray","Omega[3,1]",3,1,-0.1091755611543,0.0107413438147885,-0.0480707357519826,0.0345113718416179,-0.1029379005,-0.0476894295,0.00487666454,0.000625032488464861
"heterogeneous_box","global_ray","Omega[3,2]",3,2,0.0472063762264721,0.21025071034725,0.128368370420667,0.046888287121388,0.0552396621,0.127526285,0.2019288535,0.000936863696671615
"heterogeneous_box","global_ray","Omega[4,1]",4,1,-0.017707793359003,0.129235831274747,0.0563559626257968,0.0428856719595004,-0.01054131025,0.0562438745,0.1221593035,0.000789631091303271
"heterogeneous_box","global_ray","Omega[4,2]",4,2,-0.310074677706693,-0.210696104802907,-0.259246558058333,0.028789658446434,-0.305029609,-0.25873431,-0.215387489,0.000540938284321615
"heterogeneous_box","global_ray","Omega[4,3]",4,3,0.112531280553702,0.187364945277158,0.150517781423334,0.0215257443266591,0.116883502,0.15058682,0.1836866705,0.000384753444742619
"heterogeneous_box","global_ray","Omega[5,1]",5,1,0.00627504492564758,0.0530638008431273,0.0296975685054834,0.0135308536797444,0.0086234734,0.029784626,0.05052875645,0.000230036783098851
"heterogeneous_box","global_ray","Omega[5,2]",5,2,0.201174887164057,0.323357130907622,0.260763211083333,0.0349838705232126,0.206996387,0.25983522,0.3166097835,0.00065812122420818
"heterogeneous_box","global_ray","Omega[5,3]",5,3,0.183765616945976,0.302653115334163,0.242071992119999,0.0342921787325016,0.189637005,0.24126057,0.2966669715,0.000627116435635044
