"pattern","variant","family","lookahead_span","propagation_passes","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","max_abs_zero_mean","failed","error"
4,"cvine_all_sweep4","cvine",7,4,12,0,9476.9226166199,181.300172494259,13.5185461044312,1.68412550158129e-19,FALSE,NA
4,"rowscale_pass0","rowscale",NA,0,12,77,8897.6431016337,157.497134237861,0.992312908172607,1.50706219382405e-20,FALSE,NA
4,"rowscale_pass1","rowscale",NA,1,12,72,9287.97173193616,171.494520429405,1.81297898292542,2.37846856449993e-20,FALSE,NA
4,"rowscale_pass2","rowscale",NA,2,12,72,9287.97173193616,171.494520429405,3.19333696365356,2.37846856449993e-20,FALSE,NA
4,"rowscale_pass4","rowscale",NA,4,12,72,9287.97173193616,171.494520429405,6.22990608215332,2.37846856449993e-20,FALSE,NA
5,"cvine_span1","cvine",1,0,11,53,10085.5664574094,184.82227010591,0.770885944366455,8.75306420493344e-20,FALSE,NA
5,"cvine_span2","cvine",2,0,11,14,10561.5563840676,196.009063787607,0.675629138946533,7.80377225247484e-20,FALSE,NA
5,"cvine_span3","cvine",3,0,11,7,10453.9137006225,194.076184918268,0.559514999389648,9.53222301772494e-20,FALSE,NA
5,"cvine_span4","cvine",4,0,11,7,10453.9137006225,194.076184918268,0.565529108047485,9.53222301772494e-20,FALSE,NA
5,"cvine_span5","cvine",5,0,11,7,10453.9137006225,194.076184918268,0.672102928161621,9.53222301772494e-20,FALSE,NA
5,"cvine_all","cvine",7,0,11,7,10453.9137006225,194.076184918268,0.668026924133301,9.53222301772494e-20,FALSE,NA
5,"cvine_all_sweep1","cvine",7,1,11,7,10453.9137006225,194.076184918268,4.0000958442688,9.53222301772494e-20,FALSE,NA
5,"cvine_all_sweep2","cvine",7,2,11,7,10453.9137006225,194.076184918268,7.34918594360352,9.53222301772494e-20,FALSE,NA
5,"cvine_all_sweep4","cvine",7,4,11,7,10453.9137006225,194.076184918268,15.1030170917511,9.53222301772494e-20,FALSE,NA
5,"rowscale_pass0","rowscale",NA,0,11,112,9566.80026122061,174.787157182384,1.31462407112122,7.93229425128685e-20,FALSE,NA
5,"rowscale_pass1","rowscale",NA,1,11,59,10296.5005281631,188.618595837313,1.81463408470154,8.0286431355299e-20,FALSE,NA
5,"rowscale_pass2","rowscale",NA,2,11,59,10296.5005281631,188.618595837313,3.35929703712463,8.0286431355299e-20,FALSE,NA
5,"rowscale_pass4","rowscale",NA,4,11,59,10296.5005281631,188.618595837313,6.4282648563385,8.0286431355299e-20,FALSE,NA
