"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
5,1,"carpenter",6,1304,3651.76939016795,64.4210103053303,5.90140295028687,FALSE
5,1,"pinkney",6,1320,4229.07816911255,82.5685423204778,5.71088004112244,FALSE
5,1,"ldl2",6,1387,4103.09775464813,85.8352737259557,5.8921229839325,FALSE
5,1,"ldl3",6,1182,4020.35135956009,66.6227750362099,4.98446297645569,FALSE
5,1,"cvine",6,1183,4402.70218293395,76.1397029422723,5.12781286239624,FALSE
5,1,"schur",6,1409,3733.75269875445,76.3439323359529,5.24592590332031,FALSE
5,1,"qr2",6,0,7269.60982232158,182.534269630934,0.255898952484131,FALSE
5,1,"tri",6,0,7350.01704060947,160.606962691405,0.152684926986694,FALSE
5,2,"carpenter",6,238,6635.99919228533,131.424141807485,1.67987012863159,FALSE
5,2,"pinkney",6,324,6459.18672240037,139.18261339425,2.10394477844238,FALSE
5,2,"ldl2",6,402,6203.57873971555,145.265864412026,2.097904920578,FALSE
5,2,"ldl3",6,333,7456.52848972254,161.957612722036,1.89304709434509,FALSE
5,2,"cvine",6,333,6769.1972747431,147.006260445699,1.78796792030334,FALSE
5,2,"schur",6,260,6886.67521651448,140.65347037528,1.66047692298889,FALSE
5,2,"qr2",6,0,8028.03112956854,196.361195811773,0.260069131851196,FALSE
5,2,"tri",6,0,8961.17320324727,250.270155930494,0.163022041320801,FALSE
5,3,"carpenter",6,57,8250.12219594041,179.124629726441,0.806674003601074,FALSE
5,3,"pinkney",6,62,7710.30729429933,162.860555822388,0.797224998474121,FALSE
5,3,"ldl2",6,68,7368.89495231129,165.229269301567,0.809505939483643,FALSE
5,3,"ldl3",6,96,7146.00497417787,168.904343721704,1.01650905609131,FALSE
5,3,"cvine",6,104,7726.96651555009,184.983996446101,1.01549792289734,FALSE
5,3,"schur",6,82,7966.25394594,182.223252875083,0.798734903335571,FALSE
5,3,"qr2",6,0,7878.45544222057,189.69602817636,0.270519018173218,FALSE
5,3,"tri",6,0,7093.25007504944,177.242630560956,0.163912057876587,FALSE
5,4,"carpenter",6,37,8564.8605580482,201.421865341428,0.595973014831543,FALSE
5,4,"pinkney",6,26,8165.81276071105,188.761275097343,0.494390964508057,FALSE
5,4,"ldl2",6,27,8132.36684944318,194.810560532835,0.602704048156738,FALSE
5,4,"ldl3",6,11,8923.71093816766,192.874207062651,0.486664056777954,FALSE
5,4,"cvine",6,18,7954.2342649738,185.772806711675,0.611402034759521,FALSE
5,4,"schur",6,28,7569.16194765187,183.896062868121,0.512719869613647,FALSE
5,4,"qr2",6,0,8027.0011592714,217.699098483169,0.264662027359009,FALSE
5,4,"tri",6,0,8413.59607325786,209.867699507554,0.161669969558716,FALSE
7,1,"carpenter",7,6771,691.570119453799,3.56077479265056,26.9425399303436,FALSE
7,1,"pinkney",7,6771,691.570119453799,3.56077479265056,21.6674919128418,FALSE
